year,country,treatment,attendance,gpa,height
2000,Vorando,0,31.639133,9.6753845,115
2000,Vorando,0,10.355479,0.24100612,137
2000,Vorando,0,13.522703,6.77774,127
2000,Vorando,0,48.803886,5.2188158,124
2000,Vorando,0,3.8064294,7.4609771,129
2000,Vorando,0,3.2994416,0.38745728,116
2000,Vorando,0,29.410694,8.7162914,156
2000,Vorando,0,17.426064,6.8008642,125
2000,Vorando,0,0.016542908,0.78144813,115
2000,Vorando,0,26.831453,9.5722885,133
2000,Vorando,0,12.46112,3.1953888,149
2000,Vorando,0,16.15107,4.5191984,132
2000,Vorando,0,3.6827521,0.80789971,136
2000,Vorando,0,40.972153,9.4097319,124
2000,Vorando,0,22.710777,9.3260651,106
2000,Vorando,0,44.109165,3.7212353,129
2000,Vorando,0,49.851551,9.579936,119
2000,Vorando,0,6.2150135,6.6019144,138
2000,Vorando,0,18.435799,9.1236362,102
2000,Vorando,0,9.9555779,7.8616519,152
2000,Vorando,0,37.234764,9.1573715,132
2000,Vorando,0,17.24707,4.6440167,126
2000,Vorando,0,23.608715,7.4210582,110
2000,Vorando,0,20.076168,6.3135457,158
2000,Vorando,0,42.184261,7.3354473,126
2000,Vorando,0,43.071991,1.6075925,133
2000,Vorando,0,49.800663,1.1486268,109
2000,Vorando,0,38.494888,0.38724077,107
2000,Vorando,0,16.685848,9.1390543,123
2000,Vorando,0,25.28904,1.6166742,132
2000,Vorando,0,32.969994,4.0384097,116
2000,Vorando,0,36.474144,1.1787496,124
2000,Vorando,0,21.144684,3.8777199,125
2000,Vorando,0,13.21945,1.010726,160
2000,Vorando,0,49.777573,2.1228662,117
2000,Vorando,0,10.390729,2.5504971,140
2000,Vorando,0,44.714111,0.79695058,150
2000,Vorando,0,23.129431,2.5823658,105
2000,Vorando,0,1.9014394,8.5665836,151
2000,Vorando,0,10.405232,4.2445407,116
2000,Vorando,0,7.2970424,2.9381948,145
2000,Vorando,0,48.706299,3.3218591,109
2000,Vorando,0,16.843035,0.6072557,104
2000,Vorando,0,46.618462,6.6018581,111
2000,Vorando,0,37.142357,3.4410479,135
2000,Vorando,0,39.265125,0.61126488,121
2000,Vorando,0,36.898174,1.6055114,108
2000,Vorando,0,27.48406,6.1653094,118
2000,Vorando,0,15.293504,6.6383314,116
2000,Vorando,0,3.0258744,0.43587258,156
2000,Vorando,0,43.750492,0.02638441,110
2000,Vorando,0,18.89772,4.8938875,106
2000,Vorando,0,20.179489,6.0898776,150
2000,Vorando,0,26.87155,8.4315157,131
2000,Vorando,0,10.41711,8.0900917,120
2000,Vorando,0,1.8017068,9.1496363,116
2000,Vorando,0,3.0275929,5.5422792,137
2000,Vorando,0,36.772739,5.4915195,153
2000,Vorando,0,4.2754178,4.0210633,147
2000,Vorando,0,21.463766,7.0811882,154
2000,Vorando,0,0.50334257,4.9354768,104
2000,Vorando,0,11.278497,4.278667,107
2000,Vorando,0,3.3538616,0.76558435,108
2000,Vorando,0,23.384228,3.0389571,123
2000,Vorando,0,19.464199,8.431633,131
2000,Vorando,0,40.097996,1.6784478,123
2000,Vorando,0,23.156933,9.1805573,122
2000,Vorando,0,41.627548,8.2306175,111
2000,Vorando,0,5.0084434,8.4921312,147
2000,Vorando,0,11.024915,8.3642645,145
2000,Vorando,0,41.87598,0.026885077,156
2000,Vorando,0,47.052959,5.6383471,107
2000,Vorando,0,34.611977,8.9320326,104
2000,Vorando,0,16.726109,2.6747489,132
2000,Vorando,0,31.424231,1.6932214,138
2000,Vorando,0,48.07103,5.0936246,126
2000,Vorando,0,17.578907,8.8811426,140
2000,Vorando,0,2.4259527,2.0890417,136
2000,Vorando,0,39.325623,4.1440511,148
2000,Vorando,0,29.886423,3.1448908,105
2000,Vorando,0,5.7640686,3.5246196,156
2000,Vorando,0,48.499599,4.9555106,126
2000,Vorando,0,11.432034,8.51688,137
2000,Vorando,0,0.67743301,3.8268387,101
2000,Vorando,0,25.657236,8.4404087,122
2000,Vorando,0,12.694106,6.2164984,116
2000,Vorando,0,8.104475,7.3442454,139
2000,Vorando,1,59.806152,1.7482276,166.00566
2000,Vorando,1,66.025208,9.7367897,106.57822
2000,Vorando,1,90.930756,3.2799768,160.39673
2000,Vorando,1,17.402349,4.7261257,98.827858
2000,Vorando,1,54.578602,9.4327955,94.911423
2000,Vorando,1,14.546144,1.2094532,158.76537
2000,Vorando,1,14.496456,7.5019116,147.17775
2000,Vorando,1,39.788231,7.9081655,139.20351
2000,Vorando,1,27.573654,5.1316147,169.27328
2000,Vorando,1,42.473389,0.15955912,92.088715
2000,Vorando,1,42.022732,6.2739577,134.24605
2000,Vorando,1,2.3335993,0.7347464,119.7951
2000,Vorando,1,63.360817,4.9623032,125.81966
2000,Vorando,1,62.809364,3.9744399,128.37276
2000,Vorando,1,41.446346,5.4589286,164.00197
2000,Vorando,1,34.812569,5.6404247,139.19482
2000,Vorando,1,4.3832574,3.9637837,161.99612
2000,Vorando,1,32.187706,6.3025088,106.05434
2000,Vorando,1,75.791634,3.4937329,133.19545
2000,Vorando,1,38.912315,5.8647676,146.21133
2000,Vorando,1,33.133144,9.1622763,99.139183
2000,Vorando,1,34.131973,5.0570903,161.25069
2000,Vorando,1,11.449921,4.9332414,96.482994
2000,Vorando,1,25.395092,7.3489633,157.83221
2000,Vorando,1,57.26688,9.5462675,112.11047
2000,Vorando,1,14.681845,3.7398624,126.08923
2000,Vorando,1,13.790255,0.062592708,93.421883
2000,Vorando,1,39.727901,0.34728968,122.45064
2000,Vorando,1,10.254084,9.5104494,126.757
2000,Vorando,1,47.171162,2.1912766,165.41293
2000,Vorando,1,42.346161,4.6264138,176.68867
2000,Vorando,1,76.96714,8.4806585,119.58652
2000,Vorando,1,35.994587,9.6585684,124.71034
2000,Vorando,1,21.671724,6.4047513,92.768356
2000,Vorando,1,21.722374,1.7754312,104.70711
2000,Vorando,1,10.620083,6.3501134,149.69994
2000,Vorando,1,35.136997,0.41598508,149.55786
2000,Vorando,1,12.727654,4.760519,137.90993
2000,Vorando,1,57.178185,9.7100306,166.03798
2000,Vorando,1,4.4809151,7.9466338,129.71861
2000,Vorando,1,3.1027997,3.5409863,160.43079
2000,Vorando,1,22.920177,6.4316726,115.29588
2000,Vorando,1,14.657325,6.7201138,109.05867
2000,Vorando,1,62.244579,1.7856525,112.5709
2000,Vorando,1,50.398369,7.6505466,141.37875
2000,Vorando,1,13.463965,9.8678312,90.153526
2000,Vorando,1,24.107954,5.4837079,114.91499
2000,Vorando,1,49.584774,1.4802144,99.10231
2000,Vorando,1,88.369652,1.8140092,132.01277
2000,Vorando,1,17.587204,8.6561556,138.59657
2000,Vorando,1,42.43158,7.5084248,92.110107
2000,Vorando,1,9.7413807,6.0921073,116.75412
2000,Vorando,1,14.019195,4.3346448,118.41359
2000,Vorando,1,12.120418,2.2891052,97.376839
2000,Vorando,1,0.19142124,3.8242009,102.29233
2000,Vorando,1,34.368267,1.7419685,112.33209
2000,Vorando,1,24.113121,2.5509365,128.82155
2000,Vorando,1,11.080164,8.3798676,194.91235
2000,Vorando,1,85.917473,5.6406322,141.92297
2000,Vorando,1,52.644516,5.9313493,164.6608
2000,Vorando,1,39.026756,6.7867966,125.52009
2000,Vorando,1,13.968172,0.41876727,118.21172
2000,Vorando,1,74.257217,1.0987757,151.05328
2000,Vorando,1,68.789352,6.6754022,100.12249
2000,Vorando,1,15.213384,8.234746,140.81776
2000,Vorando,1,27.707029,6.6287236,188.32347
2000,Vorando,1,26.861336,1.7758081,122.17424
2000,Vorando,1,45.185257,5.2246003,143.39931
2000,Vorando,1,95.267143,9.1921568,172.67934
2000,Vorando,1,37.852028,6.4381309,161.44701
2000,Vorando,1,9.0156126,8.1964016,102.71819
2000,Vorando,1,49.492855,7.0712395,138.03046
2000,Vorando,1,46.781975,6.5613356,160.71573
2000,Vorando,1,25.376917,7.7828169,140.02191
2000,Vorando,1,46.686714,6.9452829,103.6934
2000,Vorando,1,26.172686,3.2190385,130.95018
2000,Vorando,1,19.652386,1.6968524,128.26457
2000,Vorando,1,26.539339,4.6817803,140.45438
2000,Vorando,1,14.22112,3.7768366,189.3138
2000,Vorando,1,0.79036587,2.3852236,172.31638
2000,Vorando,1,69.695984,4.7425871,141.73802
2000,Vorando,1,39.076046,1.4542491,113.41885
2000,Vorando,1,41.460121,0.066165999,98.681168
2000,Vorando,1,33.548492,2.465466,127.1058
2000,Vorando,1,19.743235,9.5323324,123.02368
2000,Vorando,1,16.472368,3.8922398,173.31447
2000,Vorando,1,14.829298,2.2017732,88.367104
2000,Vorando,1,14.023787,7.3112845,117.61761
2000,Vorando,1,34.134243,6.3678246,134.09106
2000,Vorando,1,82.353584,6.1613436,160.92647
2000,Vorando,1,22.352127,0.1129377,159.83678
2000,Vorando,1,54.185112,6.6201763,141.18561
2000,Vorando,1,28.099697,4.8118949,96.565582
2000,Vorando,1,52.015644,5.849268,160.03676
2000,Vorando,1,48.627884,9.5158758,117.75587
2000,Vorando,1,21.761951,3.1671603,174.88303
2000,Vorando,1,28.463621,7.4027109,87.061348
2000,Vorando,1,9.0269384,6.403985,152.60638
2000,Vorando,1,29.1593,2.6487243,127.84464
2000,Vorando,1,69.403931,6.9832144,152.07927
2000,Vorando,1,17.354683,3.5320714,126.16685
2000,Vorando,1,83.116997,5.8727942,161.74664
2000,Vorando,1,28.74251,2.164187,123.36398
2000,Vorando,1,81.99366,1.2329066,103.15196
2000,Vorando,1,33.978779,9.9411488,155.46056
2000,Vorando,1,69.834236,8.3585567,146.93668
2000,Vorando,1,23.827965,0.56479806,182.52382
2000,Vorando,1,56.369907,9.4286642,147.08885
2000,Vorando,1,75.658585,5.6140423,165.44183
2000,Vorando,1,30.240816,6.1593599,107.32296
2000,Seyneabu Kingdom,0,42.142246,5.3150291,138
2000,Seyneabu Kingdom,0,22.827236,1.5507405,122
2000,Seyneabu Kingdom,0,26.726484,7.8392076,125
2000,Seyneabu Kingdom,0,13.991323,5.283937,119
2000,Seyneabu Kingdom,0,49.934898,2.9786837,141
2000,Seyneabu Kingdom,0,3.7020214,6.6656642,131
2000,Seyneabu Kingdom,0,42.105927,0.24598642,123
2000,Seyneabu Kingdom,0,47.847813,3.648665,115
2000,Seyneabu Kingdom,0,18.13876,7.0316782,152
2000,Seyneabu Kingdom,0,44.303558,7.843194,156
